entity_name,final_code,subgroup_name,broad_category,source_url,developer,tagline,stated_use_case,target_victim,primary_output,harm_category,evidence_summary,evidence_links,reviewer_notes,reviewer_name,criminality_frame,gates,exclusions,include_in_repo,aliases
ThisPersonDoesNotExist,Not included,Not included,Synthetic Identity Generation,https://thispersondoesnotexist.com/,NVIDIA,No tagline. The website just makes a new face on each refresh,Demonstrate the capabilities of generative adversarial networks (GANs) by producing realistic synthetic human faces.,No Direct Targets but potential downstream targets include users interacting with fake personas,Photorealistic synthetic human faces that do not correspond to real individuals.,Synthetic Identity Fraud Enablement / Impersonation Infrastructure,"ThisPersonDoesNotExist generates realistic synthetic human faces using GANs and has been widely used in fraud, bot networks, and impersonation schemes, though the tool itself is not explicitly designed for harm.",https://www.cnn.com/2019/02/28/tech/ai-fake-faces,,Shaurya Attal,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": false}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,ThisPersonDoesNotExist
WolfGPT,4A,Automated Cyberattack Tools,Cybercrime AI Tool,"No stable public site; promoted via Telegram (""KEP TEAM"" channel) and dark web forums",Unknown / anonymous operators,"""an ominous AI creation in Python, standing as a shadowy force, outclassing both WormGPT and ChatGPT""","Craft encrypted malware, phishing texts, and process injection code with absolute confidentiality","Organizations, employees, and individuals targeted by malware and phishing campaigns","Encrypted malware code, obfuscated exploit scripts, phishing content, process injection payloads",Phishing / Malware Enablement,"WolfGPT is a Python-based criminal AI marketed on dark web forums and Telegram in July 2023 as a malware-generation and phishing tool that outclasses WormGPT and ChatGPT, with an obfuscation feature to evade antivirus detection.",https://blog.barracuda.com/2025/08/28/wolfgpt-upgraded-dark-ai-malware https://www.trendmicro.com/vinfo/us/security/news/cybercrime-and-digital-threats/hype-vs-reality-ai-in-the-cybercriminal-underground https://news.sophos.com/en-us/2023/11/28/cybercriminals-cant-agree-on-gpts/ https://oecd.ai/en/incidents/2024-06-20-c932,Distinct from WormGPT and Evil-GPT; specifically emphasizes cryptographic malware and code obfuscation as its core differentiators. Marketing was explicit about criminal use. GitHub repo appeared to be a ChatGPT wrapper but promotional framing is unambiguously criminal.,Diya R,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,WolfGPT
DarkBard,4A,Automated Cyberattack Tools,Cybercrime AI Tool / Synthetic Media Abuse AI,"No stable public site; advertised on Telegram ""Cashflow Cartel"" channel and dark web forums",Unknown criminal operators,"""The evil twin of Google's Bard""","Generate misinformation, deepfakes, ransomware scripts, DDoS attack logic, multilingual fraud content; integrates with Google Lens for image-based targeting","Internet users, organizations, voters, and targeted individuals in social engineering campaigns","Misinformation content, deepfake assistance, ransomware code, multilingual scam material",Cybercrime Enablement / Information and Perception Manipulation / Synthetic Media Abuse,"Cybersixgill and multiple security firms documented DarkBard as a criminal AI marketed on dark web channels as the evil twin of Google Bard, capable of real-time web-enabled misinformation, deepfake creation, and ransomware script generation.",https://www.infosecurityeurope.com/en-gb/blog/threat-vectors/generative-ai-dark-web-bots.html https://zvelo.com/malicious-ai-the-rise-of-dark-llms/ https://blog.barracuda.com/2025/08/14/the-dark-side-of-generative-ai--unveiling-the-ai-threat-landscap https://github.com/cybershujin/Threat-Actors-use-of-Artifical-Intelligence/blob/main/Dark%20LLMs%20and%20Malicious%20AIs.MD,"Distinct from DarkBERT (already listed). DarkBard's key differentiator is real-time clear web processing, giving it more current data for social engineering than static dark-web-trained models.",Diya R,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,DarkBard
ChaosGPT,Not included,Not included,Ideological Harm AI / Cybercrime AI Tool,No stable public site; GitHub repo and YouTube demonstration videos published by anonymous developer,Anonymous developer,"""Destroy humanity, establish global dominance, cause chaos, manipulate humans, and achieve immortality"" (self-stated goals)","Autonomous AI agent pursuing five explicit harmful goals: destroying humanity, seizing societal control, creating mass destruction, manipulating humans, and achieving self-preservation","General public, democratic institutions, and society at large",Autonomous task execution toward destructive goals; manipulation content; plans for mass harm,Ideological/Autonomy Harm / Information and Perception Manipulation,"ChaosGPT is a publicly released modified version of OpenAI's Auto-GPT whose anonymous developer explicitly programmed and published five goals including destroying humanity and establishing global dominance, with demonstration videos showing it autonomously pursuing these objectives.",https://www.pillar.security/blog/the-rise-of-dark-ai-tools-techniques-and-ai-driven-cyber-threats https://dailysecurityreview.com/blog/fraudgpt-wormgpt-and-dark-ai-models-fuel-surge-in-cybercrime/ https://blog.barracuda.com/2025/08/14/the-dark-side-of-generative-ai--unveiling-the-ai-threat-landscap https://www.infosecurity-magazine.com/news-features/top-10-ai-security-stories-2023/,"Actual technical capabilities are limited (it is Auto-GPT with a modified goal prompt), but the deliberate, public design intent to cause human harm is unambiguous and widely documented. Unique case: the harm design is explicit rather than inferred.",Diya R,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,ChaosGPT
AkiraBot,4A,Automated Cyberattack Tools,AI Spam / Commercial Fraud Tool,No stable public site; Python framework distributed via underground channels; operators tracked via Telegram,Unknown operators (linked to Telegram channel for success-metric logging),"N/A (no public-facing branding; promotes fraudulent SEO services ""Akira"" and ""ServiceWrap"")",Spam small and medium-sized business contact forms and live chat widgets with AI-generated personalized messages to drive traffic to fraudulent SEO services,"Small and medium-sized businesses using Shopify, Wix, Squarespace, and GoDaddy","AI-generated personalized spam messages; CAPTCHA bypasses; fraudulent SEO service promotion across 420,000+ targeted domains",Commercial Fraud / Cyber and Infrastructure Harm,"SentinelOne's SentinelLabs documented AkiraBot as an AI-powered spam framework that used OpenAI's GPT-4o-mini API to generate personalized spam messages and bypass CAPTCHA protections, successfully spamming over 80,000 websites and targeting more than 420,000 domains since September 2024.",https://www.sentinelone.com/labs/akirabot-ai-powered-bot-bypasses-captchas-spams-websites-at-scale/ https://thehackernews.com/2025/04/akirabot-targets-420000-sites-with.html https://www.securityweek.com/akirabot-spammed-80000-websites-with-ai-generated-messages/ https://www.infosecurity-magazine.com/news/aipowered-akirabot-captcha-spam/,AI-generated content is the core product feature — not a side effect — enabling spam to bypass filters. OpenAI disabled the API key after SentinelOne's disclosure. Modular design means it could trivially be repurposed for phishing or malware distribution.,Diya R,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,AkiraBot
Rhadamanthys Stealer (AI-Powered OCR Module),4A,Automated Cyberattack Tools,AI-Powered Infostealer / Malware-as-a-Service,"No stable public site; marketed on dark web forums and Telegram by alias ""kingcrete2022""; disrupted by Operation Endgame (2025)","""kingcrete2022"" (alias); operator charged in connection with Operation Endgame",N/A (marketed as a premium MaaS infostealer at $250/month),"Harvest credentials, browser passwords, cookies, cryptocurrency wallet contents, and system data; AI OCR module specifically targets recovery seed phrases from wallet screenshots","Cryptocurrency holders, businesses, financial institutions, and individuals with sensitive credentials","Stolen credentials, browser cookies, cryptocurrency seed phrases extracted via AI OCR, financial data exfiltrated to C2 infrastructure",Cyber and Infrastructure Harm / Financial Extraction / Credential Theft,"Recorded Future and Proofpoint documented Rhadamanthys Stealer as a subscription-based AI-powered MaaS infostealer that added AI-driven OCR in v0.7.0 to automatically identify and extract cryptocurrency wallet seed phrases from images, with multiple threat actor groups deploying it at scale against organizations across multiple sectors before Operation Endgame disrupted its infrastructure in 2025.",https://thehackernews.com/2024/10/ai-powered-rhadamanthys-stealer-targets.html https://www.proofpoint.com/us/blog/threat-insight/security-brief-ta547-targets-german-organizations-rhadamanthys-stealer https://www.proofpoint.com/us/blog/threat-insight/operation-endgame-quakes-rhadamanthys https://thehackernews.com/2025/10/rhadamanthys-stealer-evolves-adds.html,"Distinct from other malware on list because the AI feature (OCR for crypto seed phrases) is a designed, marketed product capability — not incidental use. Represents AI being integrated into commercial MaaS criminal infrastructure at scale.",Diya R,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Rhadamanthys Stealer (AI-Powered OCR Module)
Undress,,,Sexual Exploitation and Abuse AI,Rotating domains,Unknown,Undress anyone instantly,Generate fake nude images,Women and girls,Fake nude images,Non-consensual sexual images,AI used to undress photos without consent,bellingcat.com/news/2024/02/23/behind-a-secretive-global-network-of-non-consensual-deepfake-pornography wired.com/story/undress-app-ai-harm-google-apple-login,Clear case harm is core product,Brian Kang,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Undress
DrawNudes,,,Sexual Exploitation and Abuse AI,Rotating domains,Unknown,Undress photos instantly,Generate fake nude images,Women and girls,Fake nude images,Non-consensual sexual images,Allows users to undress photos of any woman using AI,https://www.bellingcat.com/news/2024/02/23/behind-a-secretive-global-network-of-non-consensual-deepfake-pornography/,Clear case harm is core product,Brian Kang,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,DrawNudes
Nudify,,,Sexual Exploitation and Abuse AI,Rotating domains,Unknown,Undress photos instantly,Generate fake nude images,Women and girls,Fake nude images,Non-consensual sexual images,Allows users to undress photos of any woman using AI,https://www.bellingcat.com/news/2024/02/23/behind-a-secretive-global-network-of-non-consensual-deepfake-pornography/,Clear case harm is core product,Brian Kang,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Nudify
Crush AI,,,Sexual Exploitation and Abuse AI,Rotating domains,Joy Timeline HK Limited,Remove clothes with AI,Generate fake nude images,Women and girls,AI nude deepfake images,Non-consensual sexual images,App used to create non-consensual deepfake intimate images,https://about.fb.com/news/2025/06/taking-action-against-nudify-apps/,Clear strong case harm is core product,Brian Kang,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,Crush AI
SpyFone,,,Coercive Surveillance and Spyware AI,spyfone.com,Support King LLC,Monitor any phone remotely,Secretly monitor device activity,Device owners victims,Surveillance data logs,Covert surveillance and stalking,Sold apps that secretly monitor victims without consent,https://www.ftc.gov/news-events/news/press-releases/2021/09/ftc-bans-spyfone-ceo-surveillance-business-orders-company-delete-all-secretly-stolen-data,Strong FTC enforcement confirms intentional covert surveillance tool,Brian Kang,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,SpyFone
MobiStealth,,,Coercive Surveillance and Spyware AI,mobistealth.com,Unknown,Monitor any device remotely,Secretly monitor phone activity,Device owners victims,Surveillance logs and data,Covert surveillance and stalking,Marketed as hidden monitoring software that tracks calls messages and location without user awareness,https://www.ftc.gov/news-events/news/press-releases/2021/09/ftc-bans-spyfone-ceo-surveillance-business-orders-company-delete-all-secretly-stolen-data,Strong case similar to stalkerware ecosystem with covert monitoring intent,Brian Kang,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,MobiStealth
pcTattletale,,,Coercive Surveillance and Spyware AI,pctattletale.com,Bryan Fleming,Catch a cheater,Secretly monitor devices,Spouses and partners,Screenshots and activity logs,Covert surveillance and stalking,Marketed for secretly spying on partners and capturing private data without consent,https://www.malwarebytes.com/blog/news/2026/01/pctattletale-founder-pleads-guilty-as-us-cracks-down-on-stalkerware,Explicit marketing for spying on partners makes intent clear,Brian Kang,Criminal AI,"{""gate_1"": true, ""gate_2"": true, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": false, ""exclusion_3"": false}",True,pcTattletale
Pegasus,,,Coercive Surveillance and Spyware AI,No public retail URL,NSO Group,Investigate terrorism and crime,Government surveillance operations,Journalists activists politicians,Full device surveillance data,Mass surveillance and rights violations,Used globally to target journalists activists and political figures,https://www.amnesty.org/en/latest/research/2021/07/forensic-methodology-report-how-to-catch-nso-groups-pegasus/,Clear institutional tool with strong evidence of abuse but not designed solely for harm,Brian Kang,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,Pegasus
Corsight AI,,,Coercive Surveillance and Spyware AI,corsight.ai,Corsight AI,Facial intelligence for security,Facial recognition for policing and surveillance,Civilians suspects populations,Real-time facial recognition identification,Mass surveillance and rights concerns,Used in large-scale facial recognition programs raising concerns about privacy and misidentification,https://www.business-humanrights.org/en/latest-news/report-reveals-google-corsights-technologies-role-in-israels-expansive-facial-recognition-program-in-gaza/,Institutional tool with strong rights concerns but not designed solely for harm,Brian Kang,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,Corsight AI
SenseTime,,,Coercive Surveillance and Spyware AI,sensetime.com,SenseTime Group,AI for smart surveillance,Facial recognition for security and policing,Ethnic minorities civilians,Facial recognition identification,Mass surveillance and repression concerns,Accused of enabling surveillance targeting Uyghur minorities,https://www.washingtonpost.com/technology/2021/12/10/us-investment-ban-sensetime/,Strong evidence of surveillance misuse but not designed solely for harm,Brian Kang,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,SenseTime
Megvii Face++,,,Coercive Surveillance and Spyware AI,megvii.com,Megvii Technology Limited,Facial recognition for security,Facial recognition for public safety and surveillance,Ethnic minorities civilians,Facial recognition identification,Mass surveillance and repression concerns,Facial recognition tech linked to surveillance of Uyghur population,https://en.wikipedia.org/wiki/Megvii,Major surveillance firm with strong human rights concerns but not explicitly designed solely for harm,Brian Kang,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,Megvii Face++
CloudWalk,,,Coercive Surveillance and Spyware AI,cloudwalk.com,CloudWalk Technology Co Ltd,Facial recognition for smart security,Facial recognition and biometric tracking,Ethnic minorities civilians,Facial recognition identification,Mass surveillance and repression concerns,Developed facial recognition used to track ethnic minorities including Uyghurs,https://home.treasury.gov/news/press-releases/jy0538,Strong evidence of surveillance abuse but not designed solely for harm,Brian Kang,Controversial Institutional AI,"{""gate_1"": false, ""gate_2"": false, ""gate_3"": true}","{""exclusion_1"": false, ""exclusion_2"": true, ""exclusion_3"": true}",False,CloudWalk
